"data_zone","education","health","housing","access","crime","income","employment"
"S01006506",5373,4911,3248,5065,5519,4513,4260
"S01006507",4020,5085,3486,2222,6308,4334,4830
"S01006508",6017,5849,5342,3596,6132,5266,6101
"S01006509",4917,3969,4394.5,4553,6542,5002,4599
"S01006510",3515,3029,3736,5681,3906,3341,4055
"S01006511",5521,5452,5924,5893,6464,5836,6125
"S01006512",6160,6348,4815.5,534,6543,6349,6714
"S01006513",6652,4311,6393,1419,6544,5933,6013
"S01006514",6839,6671,6868,2016,6391,6762,6820
"S01006515",6831,6713,6175,655,6267,6789,6892
"S01006516",6560,6891,6570,1233,5545,6272,6169
"S01006517",6590,6042,5892,1075,4285,6202,5811
"S01006518",6959,6832,6960,1074,6545,6749,6815
"S01006519",6813,6655,6856,918,6546,6680,6525
"S01006520",6972,6967,6825,625,6547,6967,6973
"S01006521",6867,6940,6869,842,5468.5,6905,6948
"S01006522",6878,6932,6841,1420,6548,6958,6952
"S01006523",6880,5499,6581,2236,5376,6036,6591
"S01006524",6309,4274,6240,2037,5709,3531,2877
"S01006525",6945,5774,6259.5,2177,6549,5995,5754
"S01006526",1275,2523,1454,1466,5075,3167,3512
"S01006527",1514,1609,3235,2924,2175,2442,1978
"S01006528",2403,3528,1723,3730,2993.5,3763,4688
"S01006529",2602,4192,945,5074,1722,3770,4919
"S01006530",1344,2395,1626,5369,2548,2817,2733
"S01006531",1194,2058,1122,4671,1802,2432,2936
"S01006532",6289,5463,6110,3906,2711,5569,6078
"S01006533",6879,6881,6946,3401,5468.5,6819,6767
"S01006534",6464,6749,6168,3725,4828,6709,6843
"S01006535",5918,6488,2839,5470,4601,6181,6614
"S01006536",5447,6321,1197,6046,2928,6531,6657
"S01006537",6715,5173,6398,1721,6520,6500,6877
"S01006538",6672,6737,6462,1188,6550,6457,6777
"S01006539",6535,6276,6328,2782,5483,6746,6785
"S01006540",6696,6503,4761,1783,4382,6317,6470
"S01006541",6664,6091,6619,3609,6486,6088,6724
"S01006542",6782,6769,6239,2607,5877,6803,6929
"S01006543",6600,5670,6900,2347,5803,5702,6532
"S01006544",6685,6406,3380,4025,3655,6466,6853
"S01006545",6398,5654,4757,5221,4688,5669,5748
"S01006546",6436,6240,6799,6014,5715,6491,5889
"S01006547",6218,3908,4090,680,1499,3806,3970
"S01006548",6607,6637,6499,1239,5569,6870,6737
"S01006549",6605,6613,6004,2183,4896,6926,6746
"S01006550",6882,6442,6585,2449,6551,6932,6863
"S01006551",3123,1981,1502,1986,2414,2247,1424
"S01006552",5915,6536,6637,1485,4975,5813,6232
"S01006553",4538,4055,4628,3626,3468,4657,4361
"S01006554",3131,3705,2235,4496,2095,4433,4302
"S01006555",1211,1740,1067,2588,565,1963,1985
"S01006556",2542,1678,1660,4872,3147,2711,2609
"S01006557",1536,1142,2323,2172,1461,2156,2209
"S01006558",6798,6389,2751,3994,1867,6432,6546
"S01006559",6934,6837,5199,5592,4416,6367,6871
