"data_zone","simd_rank"
"S01006506",4867
"S01006507",4536
"S01006508",5640
"S01006509",4859
"S01006510",3473
"S01006511",5977
"S01006512",6416
"S01006513",5802
"S01006514",6875
"S01006515",6860
"S01006516",6770
"S01006517",6081
"S01006518",6947
"S01006519",6727
"S01006520",6975
"S01006521",6950
"S01006522",6972
"S01006523",6209
"S01006524",4595
"S01006525",6415
"S01006526",2124
"S01006527",1459
"S01006528",3050
"S01006529",3547
"S01006530",2431
"S01006531",1819
"S01006532",5590
"S01006533",6940
"S01006534",6821
"S01006535",6295
"S01006536",6361
"S01006537",6297
"S01006538",6716
"S01006539",6673
"S01006540",6541
"S01006541",6354
"S01006542",6877
"S01006543",5943
"S01006544",6521
"S01006545",5833
"S01006546",6577
"S01006547",4059
"S01006548",6777
"S01006549",6758
"S01006550",6836
"S01006551",1693
"S01006552",6249
"S01006553",4221
"S01006554",3627
"S01006555",997
"S01006556",2148
"S01006557",940
"S01006558",6535
"S01006559",6866
"S01006560",6255
"S01006561",6946
"S01006562",4792
"S01006563",5395
"S01006564",2959
"S01006565",4002
"S01006566",5834
"S01006567",3099
"S01006568",6504
"S01006569",6251
"S01006570",6823
"S01006571",6388
"S01006572",6939
"S01006573",6917
"S01006574",6841
"S01006575",6815
"S01006576",6658
"S01006577",6615
"S01006578",4937
"S01006579",6165
"S01006580",6454
"S01006581",6881
"S01006582",3680
"S01006583",5809
"S01006584",6732
"S01006585",2636
"S01006586",3594
"S01006587",1377
"S01006588",4895
"S01006589",3824
"S01006590",3370
"S01006591",3712
"S01006592",6888
"S01006593",6552
"S01006594",5842
"S01006595",5300
"S01006596",5894
"S01006597",4717
"S01006598",6890
"S01006599",4319
"S01006600",5338
"S01006601",5028
"S01006602",6464
"S01006603",1637
"S01006604",2777
"S01006605",1765
"S01006606",4165
"S01006607",3635
"S01006608",5314
"S01006609",3011
"S01006610",2409
"S01006611",2641
"S01006612",3960
"S01006613",6353
"S01006614",6439
"S01006615",6856
"S01006616",5524
"S01006617",4798
"S01006618",5578
"S01006619",4884
"S01006620",4444
"S01006621",4264
"S01006622",5528
"S01006623",2622
"S01006624",3799
"S01006625",4023
"S01006626",2547
"S01006627",2394
"S01006628",4229
"S01006629",1870
"S01006630",1446
"S01006631",887
"S01006632",1609
"S01006633",972
"S01006634",275
"S01006635",2113
"S01006636",185
"S01006637",2920
"S01006638",2907
"S01006639",2105
"S01006640",6490
"S01006641",4041
"S01006642",4965
"S01006643",5364
"S01006644",3679
"S01006645",1887
"S01006646",4940
"S01006647",2296
"S01006648",4490
"S01006649",3551
"S01006650",4433
"S01006651",3711
"S01006652",4951
"S01006653",5923
"S01006654",1187
"S01006655",2767
"S01006656",4163
"S01006657",3763
"S01006658",2447
"S01006659",6450
"S01006660",3751
"S01006661",5717
"S01006662",2449
"S01006663",6601
"S01006664",4823
"S01006665",6046
"S01006666",777
"S01006667",943
"S01006668",5082
"S01006669",4195
"S01006670",3652
"S01006671",6742
"S01006672",2698
"S01006673",2222
"S01006674",1017
"S01006675",805
"S01006676",1011
"S01006677",946
"S01006678",1719
"S01006679",5169
"S01006680",1103
"S01006681",1715
"S01006682",2004
"S01006683",2285
"S01006684",2115
"S01006685",1988
"S01006686",2445
"S01006687",2460
"S01006688",3689
"S01006689",6852
"S01006690",3892
"S01006691",5862
"S01006692",5077
"S01006693",4457
"S01006694",947
"S01006695",2883
"S01006696",1879
"S01006697",1768
"S01006698",744
"S01006699",4447
"S01006700",2353
"S01006701",1212
"S01006702",3961
"S01006703",2488
"S01006704",1314
"S01006705",2568
"S01006706",2736
"S01006707",745
"S01006708",2471
"S01006709",2052
"S01006710",2465
"S01006711",775
"S01006712",3304
"S01006713",2360
"S01006714",2367
"S01006715",1366
"S01006716",1656
"S01006717",1779
"S01006718",2574
"S01006719",1643
"S01006720",1636
"S01006721",2407
"S01006722",2181
"S01006723",2613
"S01006724",935
"S01006725",1942
"S01006726",686
"S01006727",899
"S01006728",1993
"S01006729",469
"S01006730",2269
"S01006731",1039
"S01006732",5464
"S01006733",6872
"S01006734",6343
"S01006735",6617
"S01006736",6412
"S01006737",6407
"S01006738",4742
"S01006739",4900
"S01006740",3117
"S01006741",2662
"S01006742",3258
"S01006743",4437
"S01006744",3940
"S01006745",2670
"S01006746",3149
"S01006747",5585
"S01006748",5673
"S01006749",3703
"S01006750",2755
"S01006751",3059
"S01006752",2988
"S01006753",5748
"S01006754",6027
"S01006755",4749
"S01006756",6216
"S01006757",5790
"S01006758",6536
"S01006759",6417
"S01006760",6648
"S01006761",6443
"S01006762",4567
"S01006763",6671
"S01006764",6242
"S01006765",5755
"S01006766",6270
"S01006767",5372
"S01006768",6682
"S01006769",4625
"S01006770",6178
"S01006771",6114
"S01006772",6190
"S01006773",5375
"S01006774",6486
"S01006775",3887
"S01006776",3442
"S01006777",6291
"S01006778",5161
"S01006779",2343
"S01006780",5355
"S01006781",6128
"S01006782",5554
"S01006783",4633
"S01006784",6117
"S01006785",6806
"S01006786",6151
"S01006787",5282
"S01006788",4018
"S01006789",5703
"S01006790",5323
"S01006791",5260
"S01006792",5850
"S01006793",6465
"S01006794",3913
"S01006795",5281
"S01006796",6236
"S01006797",6102
"S01006798",5860
"S01006799",4541
"S01006800",6779
"S01006801",5796
"S01006802",4994
"S01006803",4405
"S01006804",5701
"S01006805",5019
"S01006806",5401
"S01006807",4902
"S01006808",6076
"S01006809",3705
"S01006810",4210
"S01006811",5875
"S01006812",5408
"S01006813",4484
"S01006814",6698
"S01006815",3505
"S01006816",4650
"S01006817",4818
"S01006818",6169
"S01006819",6576
"S01006820",6795
"S01006821",6829
"S01006822",6391
"S01006823",6131
"S01006824",3090
"S01006825",5292
"S01006826",5629
"S01006827",4293
"S01006828",5109
"S01006829",6894
"S01006830",4933
"S01006831",6393
"S01006832",5746
"S01006833",6685
"S01006834",6427
"S01006835",4305
"S01006836",6134
"S01006837",5065
"S01006838",5918
"S01006839",5329
"S01006840",6833
"S01006841",6394
"S01006842",6086
"S01006843",6618
"S01006844",6183
"S01006845",6189
"S01006846",4646
"S01006847",5432
"S01006848",5438
"S01006849",6825
"S01006850",3565
"S01006851",4051
"S01006852",6604
"S01006853",6818
"S01006854",5199
"S01006855",6784
"S01006856",6631
"S01006857",6410
"S01006858",6799
"S01006859",6880
"S01006860",3155
"S01006861",6889
"S01006862",5313
"S01006863",5840
"S01006864",6395
"S01006865",6559
"S01006866",6898
"S01006867",6737
"S01006868",4930
"S01006869",5011
"S01006870",6539
"S01006871",5968
"S01006872",6593
"S01006873",6466
"S01006874",6051
"S01006875",5275
"S01006876",5878
"S01006877",6483
"S01006878",3890
"S01006879",5494
"S01006880",6896
"S01006881",6913
"S01006882",5481
"S01006883",6012
"S01006884",5616
"S01006885",4862
"S01006886",6061
"S01006887",6357
"S01006888",5619
"S01006889",2701
"S01006890",6477
"S01006891",5080
"S01006892",2858
"S01006893",4722
"S01006894",4735
"S01006895",3993
"S01006896",4637
"S01006897",6184
"S01006898",4602
"S01006899",6809
"S01006900",6153
"S01006901",3446
"S01006902",3731
"S01006903",2459
"S01006904",4329
"S01006905",4988
"S01006906",2752
"S01006907",4888
"S01006908",4686
"S01006909",6959
"S01006910",6793
"S01006911",6570
"S01006912",6743
"S01006913",6400
"S01006914",6891
"S01006915",6284
"S01006916",6524
"S01006917",6822
"S01006918",6528
"S01006919",5425
"S01006920",5056
"S01006921",6951
"S01006922",5983
"S01006923",5553
"S01006924",5398
"S01006925",6275
"S01006926",6121
"S01006927",6681
"S01006928",5248
"S01006929",6457
"S01006930",6873
"S01006931",6091
"S01006932",6870
"S01006933",6830
"S01006934",5541
"S01006935",6699
"S01006936",5767
"S01006937",6127
"S01006938",5540
"S01006939",6831
"S01006940",6629
"S01006941",5506
"S01006942",5269
"S01006943",6962
"S01006944",6882
"S01006945",6824
"S01006946",6568
"S01006947",6100
"S01006948",5512
"S01006949",6771
"S01006950",6692
"S01006951",5736
"S01006952",4003
"S01006953",6602
"S01006954",5632
"S01006955",3807
"S01006956",6485
"S01006957",6468
"S01006958",6337
"S01006959",4314
"S01006960",6722
"S01006961",6886
"S01006962",6028
"S01006963",5825
"S01006964",4960
"S01006965",6191
"S01006966",3249
"S01006967",6547
"S01006968",5229
"S01006969",4356
"S01006970",6665
"S01006971",3821
"S01006972",6440
"S01006973",6045
"S01006974",6363
"S01006975",6108
"S01006976",6499
"S01006977",4156
"S01006978",5312
"S01006979",5561
"S01006980",5936
"S01006981",6149
"S01006982",6377
"S01006983",5471
"S01006984",6670
"S01006985",5993
"S01006986",5044
"S01006987",5288
"S01006988",4554
"S01006989",6449
"S01006990",6493
"S01006991",3896
"S01006992",6452
"S01006993",4856
"S01006994",4372
"S01006995",5886
"S01006996",6119
"S01006997",6728
"S01006998",5690
"S01006999",5564
"S01007000",4899
"S01007001",4522
"S01007002",4174
"S01007003",6555
"S01007004",5430
"S01007005",6333
"S01007006",4225
"S01007007",4980
"S01007008",3540
"S01007009",3698
"S01007010",5254
"S01007011",3325
"S01007012",1873
"S01007013",3812
"S01007014",6222
"S01007015",5118
"S01007016",5014
"S01007017",3008
"S01007018",4846
"S01007019",3607
"S01007020",4397
"S01007021",4448
"S01007022",6062
"S01007023",4550
"S01007024",3743
"S01007025",2625
"S01007026",3742
"S01007027",2972
"S01007028",3910
"S01007029",4606
"S01007030",3559
"S01007031",2786
"S01007032",2963
"S01007033",3150
"S01007034",3665
"S01007035",1809
"S01007036",4072
"S01007037",3510
"S01007038",3908
"S01007039",2784
"S01007040",4039
"S01007041",3624
"S01007042",3321
"S01007043",4558
"S01007044",4078
"S01007045",3047
"S01007046",3423
"S01007047",4878
"S01007048",3846
"S01007049",2363
"S01007050",3765
"S01007051",4997
"S01007052",4288
"S01007053",4530
"S01007054",3749
"S01007055",5808
"S01007056",4498
"S01007057",5454
"S01007058",3252
"S01007059",3920
"S01007060",2524
"S01007061",6442
"S01007062",5713
"S01007063",4704
"S01007064",4728
"S01007065",5733
"S01007066",4350
"S01007067",4863
"S01007068",2147
"S01007069",4436
"S01007070",1845
"S01007071",4381
"S01007072",6101
"S01007073",5793
"S01007074",3574
"S01007075",1989
"S01007076",3289
"S01007077",4153
"S01007078",2660
"S01007079",2834
"S01007080",3347
"S01007081",1940
"S01007082",1730
"S01007083",990
"S01007084",3444
"S01007085",3379
"S01007086",1843
"S01007087",1216
"S01007088",871
"S01007089",6626
"S01007090",5686
"S01007091",3758
"S01007092",2080
"S01007093",5503
"S01007094",4511
"S01007095",4925
"S01007096",5660
"S01007097",4066
"S01007098",6752
"S01007099",4919
"S01007100",4380
"S01007101",1880
"S01007102",4029
"S01007103",4017
"S01007104",5215
"S01007105",3757
"S01007106",3548
"S01007107",5873
"S01007108",3502
"S01007109",2517
"S01007110",2678
"S01007111",3468
"S01007112",5874
"S01007113",3939
"S01007114",5133
"S01007115",3694
"S01007116",6883
"S01007117",6381
"S01007118",1934
"S01007119",1156
"S01007120",1672
"S01007121",3003
"S01007122",3954
"S01007123",3589
"S01007124",4414
"S01007125",3085
"S01007126",1511
"S01007127",1825
"S01007128",2139
"S01007129",6630
"S01007130",5332
"S01007131",5419
"S01007132",6202
"S01007133",4012
"S01007134",3930
"S01007135",6001
"S01007136",6324
"S01007137",6837
"S01007138",5306
"S01007139",4655
"S01007140",5486
"S01007141",4573
"S01007142",6023
"S01007143",6624
"S01007144",4139
"S01007145",4383
"S01007146",5147
"S01007147",5174
"S01007148",6230
"S01007149",5185
"S01007150",5516
"S01007151",6408
"S01007152",5195
"S01007153",4569
"S01007154",4130
"S01007155",4753
"S01007156",4144
"S01007157",2532
"S01007158",5357
"S01007159",2903
"S01007160",3424
"S01007161",3328
"S01007162",3298
"S01007163",4630
"S01007164",4996
"S01007165",4861
"S01007166",5622
"S01007167",5865
"S01007168",6445
"S01007169",5150
"S01007170",5902
"S01007171",5562
"S01007172",4049
"S01007173",6021
"S01007174",3068
"S01007175",5266
"S01007176",4979
"S01007177",2378
"S01007178",1065
"S01007179",5403
"S01007180",4868
"S01007181",4685
"S01007182",3746
"S01007183",2579
"S01007184",2284
"S01007185",1311
"S01007186",1195
"S01007187",2688
"S01007188",3051
"S01007189",2220
"S01007190",3575
"S01007191",3716
"S01007192",2428
"S01007193",3148
"S01007194",1253
"S01007195",1123
"S01007196",2226
"S01007197",900
"S01007198",1072
"S01007199",619
"S01007200",2884
